sen_coding,votes
Ik lees het sinds ik kan lezen.,0.0
"In onze uitzending vanavond en op onze site, meer over dit nieuws.",0.0
Sommige kijkers vinden dat de filmdienst hen niet zo in de gaten moet houden.,0.0
Wat doet dat met u?,2.0
Onze stelling is: Het is saai om bij opa en oma op bezoek te gaan.,1.0
Bijvoorbeeld bij het hertje Bambi.,0.0
Voor Studio Sport volgt hij Oranje al jaren.,0.0
Had je niet liever in een pretpark gezeten?,1.0
De wedstrijd werd na het ongeluk gestopt.,0.0
Ik zit op musicalles.,0.0
Akira hoopt dat ze een orkaan als Akira nooit meer hoeft mee te maken.,0.0
"Ehm... Ja, dan besef je wel even: Dit is geen spelletje meer.",1.0
Op veel plekken bij de stembureaus.,0.0
Een nieuw baasje vinden gaat nu vast lukken.,1.0
Rafael van der Vaart leidt het publiek af.,0.0
"Waar het wel over moet gaan, is de vraag hoe we deze idealen anno 2011 het best kunnen realiseren.",1.0
De mensen zitten hier nog aan de lunch.,0.0
KERSTMUZIEKJE Beste mevrouw of meneer.,2.0
Met maximaal 15 graden is het vrij fris.,1.0
Een paar weken geleden werd Spacey beschuldigd van seksuele intimidatie.,0.0
Het gaat wereldwijd om zo 'n vier miljoen mensen.,0.0
Vanmiddag is het landinwaarts grotendeels bewolkt en komen er enkele buien voor.,0.0
Ik doe het haar niet na!,1.0
De jongens wisten hett al een tijdje want de uitzending van gisteren is al eerder opgenomen.,0.0
"Het zijn vleesvervangers, zoals ze ook worden genoemd.",0.0
Dan door naar een uitvinder uit Engeland.,0.0
"Nu zijn ze verslagen door het leger van Irak, en uit de stad verjaagd.",0.0
"GERT-JAN LEERINK ZEGGENSCHAP Als de PvdA na honderd jaar de idealen nog niet kent, kan de tent beter worden gesloten.",1.0
"Haar eerste toernooi, en ook haar eerste doelpunt.",0.0
"Ron Fresen, in Den Haag.",0.0
Op een gegeven moment had ik mijn schoenen uitgetrokken.,0.0
Daar is veel voor te zeggen.,1.0
Het zal er ongetwijfeld heel druk zijn geweest toen die auto op die mensen in reed.,0.0
Want veel mensen zien er een racistisch stereotype in.,0.0
Binnen 15 minuten moet een ambulance er zijn.,0.0
Omdat we een wedstrijd doen in de klas... waarmee we zo lang mogelijk iedere dag een korte broek aan doen.,0.0
Kinderen met een ziek hard... we kijken dan met medicijnen of met een andere operatie het beter kan worden.,0.0
Maar 1 procent van de wereldbevolking heeft het.,0.0
Wat vinden de Nederlander van elektrisch rijden?,2.0
Vanavond werd bekend dat de volgende fase van de Brexit-onderhandelingen pas in december van start gaat.,0.0
En de manager heeft vaak aantoonbaar gelogen.,0.0
Dat doen ze omdat ze een hoger salaris willen van de regering.,0.0
GELACH Een heel goed bananenjaar.,1.0
Vorige week tijdens de World Cup in Moskou dook Sj xc2 xb6strom met 23.00... nog onder het oude wereldrecord van Kromowidjojo uit 2013.,0.0
